TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LATITUDE,LONGITUDE
Condo for sale,315000,2,2,1400,"New York, NY 10022","2 E 55th St Unit 803New York, NY 10022",New York County,New York,Manhattan,East 55th Street,40.761255,-73.9744834
Condo for sale,195000000,7,10,17545,"New York, NY 10019","Central Park Tower Penthouse-217 W 57th New York St Unit PenthouseNew York, NY 10019",United States,New York,New York County,New York,40.7663935,-73.9809909
House for sale,260000,4,2,2015,"Staten Island, NY 10312","620 Sinclair AveStaten Island, NY 10312",United States,New York,Richmond County,Staten Island,40.5418051,-74.1961086
Condo for sale,69000,3,1,445,"Manhattan, NY 10022","2 E 55th St Unit 908W33Manhattan, NY 10022",United States,New York,New York County,New York,40.7613979,-73.9746128
Townhouse for sale,55000000,7,2.373860858,14175,"New York, NY 10065","5 E 64th StNew York, NY 10065",United States,New York,New York County,New York,40.7672235,-73.9698561
House for sale,690000,5,2,4004,"Brooklyn, NY 11238","584 Park PlBrooklyn, NY 11238",United States,New York,Kings County,Brooklyn,40.6743632,-73.9587248
Condo for sale,899500,2,2,2184.21,"New York, NY 10027","157 W 126th St Unit 1BNew York, NY 10027",New York,New York County,New York,Manhattan,40.809448,-73.946777
House for sale,16800000,8,16,33000,"Staten Island, NY 10304","177 Benedict RdStaten Island, NY 10304",United States,New York,Richmond County,Staten Island,40.5950017,-74.1064235
Co-op for sale,265000,1,1,750,"Bronx, NY 10473","875 Morrison Ave Apt 3MBronx, NY 10473",Bronx County,The Bronx,East Bronx,Morrison Avenue,40.8215857,-73.8740892
Co-op for sale,440000,2,1,978,"Brooklyn, NY 11230","1350 Ocean Pkwy Apt 5GBrooklyn, NY 11230",New York,Kings County,Brooklyn,Midwood,40.6157378,-73.9696944
Co-op for sale,375000,2,1,850,"Bronx, NY 10451","800 Grand Concourse Apt 2JSBronx, NY 10451",New York,Bronx County,The Bronx,Concourse Village,40.8248699,-73.9229829
Townhouse for sale,689000,3,2.373860858,1162,"Staten Island, NY 10303","456 Van Name AveStaten Island, NY 10303",United States,New York,Richmond County,Staten Island,40.6249962,-74.1553058
Co-op for sale,259000,3,1,2184.21,"Jackson Heights, NY 11372","34-41 85th St Unit 1DJackson Heights, NY 11372",New York,Queens County,Queens,Flushing,40.7531191,-73.8818757
Co-op for sale,430000,2,2,2184.21,"Elmhurst, NY 11373","91-15 Lamont Ave Unit 6DElmhurst, NY 11373",New York,Queens County,Queens,Elmhurst,40.7438639,-73.8745722
Co-op for sale,895000,3,1,2184.21,"New York, NY 10014","61 Jane St Apt 6NNew York, NY 10014",New York,New York County,New York,Manhattan,40.7382981,-74.0058899
Condo for sale,549000,2,2,1000,"Staten Island, NY 10312","4654 Amboy Rd Unit 2BStaten Island, NY 10312",New York,Richmond County,Staten Island,Annadale,40.5406209,-74.1671632
